www.agrometeorologia.cl,Unnamed: 1,Unnamed: 2
Red Agrometeorológica de INIA,,
Generado el 17-07-2026 18:19:36,,
"La Platina, La Pintana",,
,,
Tiempo UTC-4,Temp. de Suelo Bajo 10cm Máxima ºC,Temp. de Suelo Bajo 10cm Máxima % de datos 
01-01-2024,30.8,100
02-01-2024,31.3,100
03-01-2024,31.6,100
04-01-2024,31.7,100
05-01-2024,31.3,100
06-01-2024,31.6,100
07-01-2024,31.9,100
08-01-2024,32.1,100
09-01-2024,32.1,100
10-01-2024,32.3,100
11-01-2024,32.1,100
12-01-2024,31.6,100
13-01-2024,31.9,100
14-01-2024,32.5,100
15-01-2024,32.5,100
16-01-2024,32.5,100
17-01-2024,32.8,100
18-01-2024,33,100
19-01-2024,33.7,100
20-01-2024,33.6,100
21-01-2024,33.9,100
22-01-2024,34.3,100
23-01-2024,34,100
24-01-2024,34.6,100
25-01-2024,34.4,100
26-01-2024,33.5,100
27-01-2024,34.2,100
28-01-2024,34.1,100
29-01-2024,34.6,100
30-01-2024,34.5,100
31-01-2024,34.7,100
01-02-2024,34.7,100
02-02-2024,34.2,100
03-02-2024,34.3,100
04-02-2024,33,100
05-02-2024,33.9,100
06-02-2024,33.7,100
07-02-2024,34,100
08-02-2024,34.4,100
09-02-2024,34.1,100
10-02-2024,33.8,100
11-02-2024,33.9,100
12-02-2024,38.7,100
13-02-2024,40.5,100
14-02-2024,40.5,100
15-02-2024,41.2,100
16-02-2024,41.2,100
17-02-2024,41.2,100
18-02-2024,41.7,100
19-02-2024,40.6,100
20-02-2024,40.8,100
21-02-2024,40.6,100
22-02-2024,30.9,100
23-02-2024,34.8,100
24-02-2024,37.1,100
25-02-2024,38.4,100
26-02-2024,38.8,100
27-02-2024,39.2,100
28-02-2024,39.4,100
29-02-2024,39.8,100
01-03-2024,39.5,100
02-03-2024,39.3,100
03-03-2024,39.5,100
04-03-2024,39.6,100
05-03-2024,39.2,100
06-03-2024,38.9,100
07-03-2024,38.2,100
08-03-2024,37.8,100
09-03-2024,38.1,100
10-03-2024,38,100
11-03-2024,37.7,100
12-03-2024,37.3,100
13-03-2024,37.3,100
14-03-2024,37.1,100
15-03-2024,37,100
16-03-2024,36.4,100
17-03-2024,36.5,100
18-03-2024,36.6,100
19-03-2024,36,100
20-03-2024,27.3,100
21-03-2024,34.7,100
22-03-2024,35.9,100
23-03-2024,35.9,100
24-03-2024,36.2,100
25-03-2024,35.9,100
26-03-2024,35.5,100
27-03-2024,35.6,100
28-03-2024,35.4,100
29-03-2024,35.3,100
30-03-2024,35.1,100
31-03-2024,33.6,100
01-04-2024,31.9,100
02-04-2024,26.6,100
03-04-2024,22.4,100
04-04-2024,31.3,100
05-04-2024,31.9,100
06-04-2024,31.4,100
07-04-2024,31.6,100
08-04-2024,31.2,100
09-04-2024,31.1,100
10-04-2024,30.8,100
11-04-2024,24.7,100
12-04-2024,21.7,100
13-04-2024,24,100
14-04-2024,27,100
15-04-2024,21.2,100
16-04-2024,27.1,100
17-04-2024,28,100
18-04-2024,29,100
19-04-2024,26.1,100
20-04-2024,24,100
21-04-2024,21.6,100
22-04-2024,26.1,100
23-04-2024,27.1,100
24-04-2024,26.2,100
25-04-2024,24.1,100
26-04-2024,24.7,100
27-04-2024,25,100
28-04-2024,19.1,100
29-04-2024,23.1,100
30-04-2024,22.5,100
01-05-2024,19.2,100
02-05-2024,18.4,100
03-05-2024,21.7,100
04-05-2024,22.4,100
05-05-2024,18.9,100
06-05-2024,21.3,100
07-05-2024,13.6,100
08-05-2024,15.4,100
09-05-2024,15.4,100
10-05-2024,12.7,100
11-05-2024,14.5,100
12-05-2024,14.5,100
13-05-2024,14.4,100
14-05-2024,14.2,100
15-05-2024,11.8,100
16-05-2024,13.4,100
17-05-2024,13.6,100
18-05-2024,13.8,100
19-05-2024,12.3,100
20-05-2024,10.3,100
21-05-2024,14.5,100
22-05-2024,11.8,100
23-05-2024,14.2,100
24-05-2024,11.5,100
25-05-2024,13.3,100
26-05-2024,15.2,100
27-05-2024,12.8,100
28-05-2024,14.2,100
29-05-2024,14.2,100
30-05-2024,16,100
31-05-2024,13.2,100
01-06-2024,15.1,100
02-06-2024,13.8,100
03-06-2024,13.5,100
04-06-2024,12.8,100
05-06-2024,13.4,100
06-06-2024,13.3,100
07-06-2024,15.6,100
08-06-2024,14.5,100
09-06-2024,12.8,100
10-06-2024,13,100
11-06-2024,12.1,100
12-06-2024,11.8,100
13-06-2024,11.2,100
14-06-2024,13.2,100
15-06-2024,13.2,100
16-06-2024,12.7,100
17-06-2024,10.6,100
18-06-2024,10.6,100
19-06-2024,13.5,100
20-06-2024,11.2,100
21-06-2024,10.5,100
22-06-2024,8.9,100
23-06-2024,11,100
24-06-2024,11,100
25-06-2024,11.6,100
26-06-2024,10.7,100
27-06-2024,11.5,100
28-06-2024,12.2,100
29-06-2024,11.2,100
30-06-2024,12.3,100
01-07-2024,12.4,100
02-07-2024,12.1,100
03-07-2024,12.7,100
04-07-2024,11.5,100
05-07-2024,11.2,100
06-07-2024,10.9,100
07-07-2024,10.6,100
08-07-2024,10.6,100
09-07-2024,10.4,100
10-07-2024,11.2,100
11-07-2024,10.8,100
12-07-2024,10.8,97
13-07-2024,10.8,100
14-07-2024,11,97
15-07-2024,10.7,100
16-07-2024,12.1,99
17-07-2024,11.7,100
18-07-2024,11.2,100
19-07-2024,12.7,96
20-07-2024,12.3,100
21-07-2024,13.1,100
22-07-2024,13,100
23-07-2024,11.1,100
24-07-2024,12.8,100
25-07-2024,12.3,100
26-07-2024,11.4,100
27-07-2024,12.5,100
28-07-2024,12.7,100
29-07-2024,13.8,100
30-07-2024,11.1,100
31-07-2024,10.3,100
01-08-2024,9.9,100
02-08-2024,10.5,100
03-08-2024,13.2,100
04-08-2024,12.6,100
05-08-2024,11,100
06-08-2024,12.8,100
07-08-2024,11.5,100
08-08-2024,12.2,100
09-08-2024,12.4,100
10-08-2024,13.2,100
11-08-2024,13.8,100
12-08-2024,15.2,100
13-08-2024,15.6,100
14-08-2024,14.1,100
15-08-2024,14.2,100
16-08-2024,13.2,100
