codigo_nacional;codigo_agroclima;ID;estacion;categoria;lat;long;altitud;comuna;region;anio_creacion;Nota
180047;;INIA-81;Azapa Alto;INIA;-18.577499;-69.947221;838;Arica;Arica y Parinacota;2010;
180036;;INIA-39;Azapa Medio;INIA;-18.547777;-70.124721;393;Arica;Arica y Parinacota;2009;
180035;;INIA-156;Belén;INIA;-18.467777;-69.515;3271;Putre;Arica y Parinacota;2015;
180039;;INIA-150;Caleta Vitor;INIA;-18.781388;-70.283888;88;Arica;Arica y Parinacota;2015;
190009;;INIA-77;Camarones;INIA;-19.010555;-69.857222;100;Camarones;Arica y Parinacota;2013;
180037;;INIA-63;Cerro Blanco;INIA;-18.574999;-70.069721;525;Arica;Arica y Parinacota;2014;
180042;;EXT-117;Cerro Sombrero ;DMC;-18.5125;-70.265555;122;Arica;Arica y Parinacota;2017;
180901;;INIA-137;Chaca;INIA;-18.815833;-70.152222;343;Arica;Arica y Parinacota;1976;
180006;;INIA-152;Chapiquiña;INIA;-18.394999;-69.53611;3390;Putre;Arica y Parinacota;1962;
180041;;INIA-76;Codpa;INIA;-18.832499;-69.745555;1870;Camarones;Arica y Parinacota;2013;
NA;;EXT-69;Concordia Medio;ANPROS;-18.36;-70.29;115;Arica;Arica y Parinacota;NA;Fuera de línea
190011;;INIA-204;Cuya;INIA;-19.161944;-70.180832;97;Camarones;Arica y Parinacota;2017;
180018;;EXT-121;Defensa Civil;DMC;-18.49111;-70.301388;71;Arica;Arica y Parinacota;2017;
NA;;EXT-72;La Violeta Open;ANPROS;-18.51;-70.21;199;Arica;Arica y Parinacota;NA;Fuera de línea
180031;;INIA-80;Lago Chungará;INIA;-18.280832;-69.138055;4570;Putre;Arica y Parinacota;2010;
180032;;INIA-75;Lluta Alto;INIA;-18.39361;-69.963333;895;Arica;Arica y Parinacota;2011;
180033;;INIA-34;Lluta Bajo;INIA;-18.413611;-70.206111;0;Arica;Arica y Parinacota;2010;
180034;;INIA-38;Lluta Medio;INIA;-18.452222;-70.067221;532;Arica;Arica y Parinacota;2009;
180045;;INIA-302; Pampa Concordia;INIA;-18.363055;-70.301944;65;Arica;Arica y Parinacota;2018;
180029;;INIA-134;Putre;INIA;-18.196944;-69.553888;3577;Putre;Arica y Parinacota;2014;
180017;;EXT-120; Putre DMC;DMC;-18.2;-69.5625;3532;Putre;Arica y Parinacota;2016;
180048;;INIA-79;Salar de Surire;INIA;-18.794721;-69.084444;4269;Putre;Arica y Parinacota;2017;
180030;;INIA-43;Socoroma;INIA;-18.263888;-69.607777;3077;Putre;Arica y Parinacota;2009;
180038;;INIA-149;Ticnamar;INIA;-18.579999;-69.495833;3220;Putre;Arica y Parinacota;2017;
170007;;INIA-78;Visviri;INIA;-17.594721;-69.475277;4122;General Lagos;Arica y Parinacota;2012;
200006;;EXT-99;Aeropuerto Diego Aracena;DMC;-20.549166;-70.18111;48;Iquique;Tarapacá;1981;
200011;;INIA-202;Pica;INIA;-20.501388;-69.342499;1325;Pica;Tarapacá;2017;
NA;;EXT-60;Salar de Huasco;UPLA;-20.25;-68.87;3804;Pica;Tarapacá;NA;Fuera de línea
200010;;EXT-123;Universidad Arturo Prat;DMC;-20.270832;-70.130832;30;Iquique;Tarapacá;2017;
220002;;EXT-125;Aeródromo El Loa;DMC;-22.498055;-68.892499;2321;Calama;Antofagasta;2010;
230024;;INIA-218;Altos la Portada;INIA;-23.504166;-70.404722;105;Antofagasta;Antofagasta;2017;
220023;;INIA-61;Calama Rural;INIA;-22.47111;-68.943055;2244;Calama;Antofagasta;2010;
230023;;INIA-216;Camar;INIA;-23.407222;-67.963611;2694;San Pedro de Atacama;Antofagasta;2017;
220022;;INIA-56;Caspana;INIA;-22.334444;-68.213611;3245;Calama;Antofagasta;2012;
240005;;EXT-202;Cerro Paranal;ESO;-24.627499;-70.404722;2648;Antofagasta;Antofagasta;2018;
250007;;INIA-225;La Cachina;INIA;-25.433888;-70.453333;213;Taltal;Antofagasta;2017;
230021;;EXT-203;Llano de Chajnantor;ESO;-23.005833;-67.759166;5000;San Pedro de Atacama;Antofagasta;2018;
230022;;EXT-177;Mejillones;DMC;-23.109166;-70.443333;31;Mejillones;Antofagasta;2018;
210007;;INIA-62;Ollagüe;INIA;-21.223888;-68.255555;3706;Ollagüe;Antofagasta;2010;
NA;;EXT-124;Ollagüe;DMC;-21.22;-68.25;3708;Ollagüe;Antofagasta;NA;Fuera de línea
220024;;INIA-59;San Pedro de Atacama;INIA;-22.932221;-68.213333;2416; San Pedro de Atacama;Antofagasta;2010;
230020;;INIA-57;Socaire;INIA;-23.590555;-67.889999;3357;San Pedro de Atacama;Antofagasta;2010;
